ID,encoded_pixels
image_010,2:74124 20 74671 41 75226 41 75772 74 76327 74 76873 91 77428 91 77977 102 78532 102 79080 113 79627 123 80182 123 80728 145 80875 3 80884 2 80888 18 81283 145 81430 3 81439 2 81443 18 81831 204 82386 204 82937 215 83492 215 84045 219 84596 225 85151 225 85703 228 86258 228 86813 230 87368 230 87921 232 88476 232 89031 232 89586 232 90141 232 90698 232 91253 232 91808 232 92363 232 92918 232 93473 232 94031 232 94586 232 95141 232 95696 232 96251 232 96803 232 97358 232 97916 229 98471 229 99023 232 99578 232 100133 232 100686 234 101241 234 101796 234 102351 234 102904 236 103459 236 104014 234 104569 234 105122 236 105677 234 106232 234 106787 232 107342 232 107895 234 108450 234 109005 232 109560 232 110115 230 110668 232 111223 232 111778 229 112333 229 112888 227 113443 227 113998 225 114553 225 115108 221 115663 219 116218 219 116773 214 117328 214 117885 210 118440 210 118995 206 119550 206 120105 201 120660 201 121217 197 121772 195 122327 195 122884 191 123439 191 123994 189 124549 189 125104 187 125659 187 126216 182 126771 182 127326 182 127881 182 128436 182 128991 180 129546 180 130106 175 130661 175 131216 175 131771 175 132326 175 132881 177 133436 177 133993 175 134548 175 135105 173 135660 173 136215 173 136770 173 137325 173 137882 171 138437 171 138994 169 139549 169 140106 165 140661 165 141219 162 141774 162 142331 158 142888 156 143443 156 143998 154 144553 154 145108 152 145663 152 146220 148 146775 148 147330 145 147885 143 148440 143 148997 139 149552 139 150107 137 150662 137 151217 137 151772 137 152329 133 152884 131 153439 131 153994 128 154549 128 155107 125 155662 125 156217 123 156772 123 157329 121 157884 119 158439 119 158996 117 159551 117 160110 111 160665 111 161225 104 161780 104 162339 98 162898 91 163453 91 164011 84 164566 84 165123 80 165678 80 166237 72 166792 72 167349 67 167904 67 168461 61 169023 52 169578 52 170150 18 170170 4 170705 18 170725 4
image_011,1:18721 31 19283 31 19794 14 19834 53 20356 14 20396 53 20914 108 21476 108 22034 120 22596 120 23147 136 23709 136 24266 145 24824 154 25386 154 25946 158 26508 158 27068 162 27630 162 28189 169 28751 169 29311 174 29873 174 30435 176 30993 182 31555 182 32115 186 32677 186 33236 191 33798 191 34360 191 34922 191 35482 196 36044 196 36604 198 37164 200 37726 200 38286 202 38848 202 39403 211 39965 211 40525 213 41087 213 41644 218 42206 218 42766 220 43326 222 43888 222 44450 224 45012 224 45572 226 46134 226 46694 228 47256 228 47815 233 48377 233 48939 233 49497 239 50059 239 50621 239 51183 239 51743 243 52305 243 52865 245 53427 245 53986 251 54548 251 55110 251 55670 253 56232 253 56794 253 57356 253 57916 257 58478 257 59038 259 59600 259 60162 259 60724 259 61286 261 61848 263 62410 263 62974 261 63536 261 64098 261 64660 261 65222 261 65784 261 66348 259 66910 259 67472 261 68036 259 68598 259 69160 259 69722 259 70284 257 70846 257 71408 257 71970 257 72532 257 73094 257 73656 255 74221 252 74783 252 75345 252 75907 252 76471 248 77033 248 77595 248 78157 248 78721 244 79283 244 79847 239 80409 239 80971 239 81535 235 82097 235 82662 230 83224 230 83788 226 84350 226 84914 222 85476 222 86040 218 86607 210 87169 210 87735 204 88297 204 88866 195 89428 195 89994 189 90556 189 91122 185 91684 185 92251 178 92819 169 93381 169 93946 164 94508 164 95072 158 95634 158 96200 152 96762 152 97331 140 97893 140 98459 130 99028 116 99590 116 100160 93 100722 93 101300 68 101862 68 102455 26 103017 26
image_012,<empty>
image_013,<empty>
image_014,1:215077 5 215733 5 216389 5 217045 3 217701 3 218357 3 219013 3 219669 3 220325 3 220981 3 221637 3 222293 3 224917 3 225573 3
image_015,2:14308 3 14577 10 14850 10 15120 15 15391 20 15664 20 15936 24 16209 24 16481 28 16754 32 17027 32 17299 35 17571 38 17844 38 18114 42 18386 44 18659 44 18929 48 19182 7 19190 1 19193 1 19195 56 19455 7 19463 1 19466 1 19468 56 19717 81 19990 81 20259 86 20523 97 20796 97 21064 104 21334 109 21607 109 21875 117 22144 124 22417 124 22688 130 22959 137 23232 137 23504 141 23777 141 24050 145 24322 151 24595 151 24868 156 25142 158 25415 158 25688 160 25961 162 26234 162 26509 162 26784 161 27057 161 27331 164 27604 164 27878 165 28152 167 28425 167 28700 167 28974 171 29247 171 29520 176 29795 181 30068 181 30341 183 30616 185 30889 185 31163 14 31180 170 31436 14 31453 170 31710 13 31724 174 31984 5 31996 175 32257 5 32269 175 32532 2 32541 178 32813 180 33086 180 33357 183 33628 184 33901 184 34173 186 34446 188 34719 188 34992 186 35265 186 35539 184 35812 185 36085 185 36360 183 36634 181 36907 181 37181 180 37455 180 37728 180 38002 179 38276 178 38549 178 38822 178 39095 178 39369 176 39643 175 39916 175 40189 174 40462 173 40735 173 41009 170 41283 165 41556 165 41829 163 42102 161 42375 161 42649 158 42922 158 43195 157 43469 155 43742 155 44016 153 44290 151 44563 151 44837 149 45112 146 45385 146 45661 142 45936 139 46209 139 46484 134 46757 134 47031 129 47305 125 47578 125 47851 122 48125 119 48398 119 48672 117 48947 113 49220 113 49496 108 49771 104 50044 104 50319 102 50592 102 50867 99 51142 96 51415 96 51690 93 51965 89 52238 89 52513 86 52790 81 53063 81 53338 78 53614 75 53887 75 54162 73 54438 69 54711 69 54988 65 55261 65 55537 61 55816 53 56089 53 56369 45 56646 41 56919 41 57195 38 57469 35 57742 35 58017 6 58024 24 58303 17 58576 17 58861 1 59134 1
image_016,<empty>
image_017,1:151677 22 152454 22 153222 43 153999 43 154770 58 155547 58 156321 73 157098 73 157875 73 158646 85 159423 85 160197 91 160974 91 161742 103 162519 103 163296 106 164073 106 164850 106 165624 109 166401 109 167178 109 167955 109 168729 115 169506 115 170283 115 171060 118 171837 118 172614 118 173391 118 174168 118 174945 118 175722 118 176499 118 177276 118 178053 118 178830 118 179607 118 180384 118 181164 115 181941 115 182718 115 183495 115 184272 115 185049 112 185826 112 186606 109 187383 109 188163 106 188940 106 189717 106 190494 106 191271 106 192051 100 192828 100 193608 97 194385 97 195165 91 195942 91 196722 88 197499 88 198276 88 199059 79 199836 79 200625 64 201402 64 202207 27 202984 27~2:202492 3 203269 3 206365 3 206371 15 207142 3 207148 15 207922 15 208699 15 209467 3 209473 24 210244 3 210250 24 211024 3 211030 24 211801 3 211807 24 212578 3 212584 24 213340 51 214117 51 214900 51 215677 51 216448 60 217225 60 218002 63 218779 63 219556 63 220327 72 221104 72 221881 69 222658 69 223431 4 223438 66 224208 4 224215 66 225004 51 225781 51 226558 51 227332 3 227338 48 228109 3 228115 48 228895 42 229672 42 230440 3 230446 45 231217 3 231223 45 231994 3 232000 45 232774 51 233551 51 234306 76 235083 76 235863 79 236640 79 237417 82 238194 82 238971 82 239745 92 240522 92 241296 98 242073 98 242850 98 243627 98 244401 101 245178 101 245955 101 246729 107 247506 107 248283 110 249060 110 249837 110 250614 110 251391 113 252168 113 252945 113 253719 119 254496 119 255273 119 256050 119 256824 122 257601 122 258378 122 259155 122 259932 122 260709 110 260822 9 261486 110 261599 9 262260 110 262373 9 263037 110 263150 9 263811 109 263924 9 264588 109 264701 9 265362 125 266139 125 266916 125 267690 125 268467 125 269244 122 270021 122 270798 109 271575 109 272349 109 273126 109 273903 109 274680 106 275457 106 276231 106 277008 106 277785 103 278562 103 279336 106 280113 106 280890 106 281667 106 282444 106 283221 106 283998 106 284775 106 285552 106 286329 106 287106 106 287883 106 288663 103 289440 103 290217 100 290994 100 291771 97 292548 97 293325 97 294105 21 294148 42 294882 21 294925 42 329094 37 329871 37 330615 76 331392 76 332157 94 332934 94 333705 103 334482 103 335259 103 336036 100 336813 100 337590 94 338367 94 339147 88 339924 88 340701 88 341481 79 342258 79 343038 70 343815 70 344598 55 345375 55 346155 46 346932 46 347709 46 348489 39 349266 39 350043 36 350820 36 351597 33 352374 33 353157 15 353934 15 354711 15
image_018,2:71368 3 72134 3
image_019,1:33578 20 34203 20 34818 37 35436 51 36061 51 36676 69 37301 69 37917 85 38542 85 39162 97 39787 97 40409 105 41034 105 41654 115 42279 115 42902 120 43527 120 44147 127 44772 127 45395 134 46020 134 46642 139 47267 139 47890 144 48515 144 49137 149 49762 149 50387 152 51012 152 51635 154 52257 157 52882 157 53502 164 54127 164 54750 168 55375 168 55998 170 56623 170 57245 173 57870 173 58493 178 59118 178 59743 178 60368 178 60990 181 61615 181 62238 183 62863 183 63488 183 64113 183 64735 186 65360 186 65983 188 66608 188 67231 187 67856 187 68478 190 69103 190 69728 190 70351 192 70976 192 71598 195 72223 195 72848 195 73473 195 74096 195 74721 195 75346 195 75971 195 76593 198 77218 198 77843 196 78468 196 79091 198 79716 198 80341 195 80966 195 81588 196 82213 196 82838 196 83463 196 84088 191 84713 191 85336 193 85961 193 86588 186 87213 184 87838 184 88463 179 89088 179 89713 176 90338 176 90963 174 91588 174 92213 171 92838 171 93466 168 94091 168 94716 166 95341 166 95968 161 96593 161 97221 154 97846 154 98473 149 99098 149 99723 147 100348 147 100973 142 101598 142 102228 132 102853 132 103481 119 104113 107 104738 107 105370 86 105995 86 106635 46 107260 46 107909 3 107914 3 108534 3 108539 3
image_020,2:49099 7 49654 7 50205 15 50760 15 51311 19 51866 19 52416 26 52971 26 53522 33 54077 33 54623 44 55178 44 55727 54 56282 54 56833 63 57385 68 57940 68 58493 72 59048 72 59599 78 60154 78 60705 82 61260 82 61808 91 62363 91 62912 97 63467 97 64017 104 64572 104 65125 106 65680 106 66233 111 66788 111 67339 115 67889 120 68444 120 68978 141 69533 141 70085 144 70640 144 71193 148 71748 148 72301 150 72856 150 73409 152 73964 152 74519 152 75074 152 75627 156 76182 156 76737 156 77292 156 77849 154 78404 154 78959 156 79514 154 80069 154 80626 154 81181 154 81736 154 82291 154 82848 152 83403 152 83960 152 84515 152 85070 152 85625 152 86183 151 86738 151 87293 154 87848 154 88403 154 88958 154 89513 156 90068 156 90625 154 91182 152 91737 152 92294 152 92849 152 93406 150 93961 150 94518 148 95073 148 95628 148 96183 148 96741 143 97296 143 97851 143 98406 143 98961 143 99516 143 100071 143 100626 143 101181 143 101738 141 102293 141 102848 141 103403 141 103958 141 104513 141 105070 137 105625 137 106180 137 106735 137 107292 135 107847 135 108404 133 108959 133 109516 131 110071 131 110626 131 111181 131 111739 128 112294 128 112851 128 113408 126 113963 126 114518 126 115073 126 115628 124 116183 124 116738 124 117293 124 117848 124 118403 124 118958 124 119513 124 120068 124 120623 124 121178 121 121733 121 122286 121 122841 121 123398 119 123953 119 124506 119 125061 119 125616 119 126169 121 126724 121 127276 120 127831 120 128386 120 128941 120 129496 118 130051 118 130606 115 131161 115 131716 115 132271 115 132824 115 133379 115 133934 115 134489 115 135042 117 135597 115 136152 115 136707 115 137262 115 137815 117 138370 117 138925 117 139480 117 140035 115 140590 115 141143 117 141698 117 142251 117 142806 117 143332 11 143358 120 143887 11 143913 120 144440 148 144995 148 145550 146 146105 146 146660 143 147213 143 147768 143 148321 143 148876 143 149429 143 149984 143 150539 141 151094 141 151647 143 152202 143 152757 140 153312 140 153864 143 154419 143 154974 143 155529 143 156082 143 156637 143 157192 141 157747 141 158300 143 158855 145 159410 145 159965 147 160520 147 161073 149 161628 149 162183 152 162738 152 163293 152 163848 152 164403 154 164958 154 165513 154 166068 154 166623 156 167178 156 167733 156 168288 156 168843 158 169398 160 169953 160 170508 160 171063 160 171618 163 172173 163 172730 161 173285 161 173840 161 174395 161 174950 161 175505 161 176060 161 176615 161 177170 161 177725 161 178282 159 178837 159 179392 159 179947 159 180504 154 181059 157 181614 157 182169 157 182724 157 183282 156 183837 156 184392 156 184947 156 185502 154 186057 154 186614 152 187169 152 187728 145 188283 145 188851 132 189406 132 189965 126 190520 126 191078 41 191125 74 191633 41 191680 74 192192 26 192244 9 192272 37 192749 22 192799 6 192829 33 193304 22 193354 6 193384 33 193859 24 193905 13 193939 31 194414 24 194460 13 194494 31 194967 63 195045 32 195522 63 195600 32 196075 69 196151 36 196630 69 196706 36 197183 114 197738 114 198290 120 198845 120 199392 128 199947 128 200491 139 201046 139 201601 139 202156 139 202713 137 203270 132 203825 132 204382 130 204937 130 205495 125 206050 125 206607 123 207162 123 207719 117 208274 117 208829 115 209384 115 209939 113 210494 113 211049 113 211604 113 212157 115 212712 115 213265 114 213820 114 214377 110 214936 102 215491 102 216050 89 216605 89 217163 73 217718 73 218275 69 218830 69 219385 67 219940 67 220497 63 221052 63 221613 57 222168 57 222734 41 223289 41 223853 28 224408 28
